Stock,Signal,Setup,WeeklyTrend,MTF,Price,Score,RSI,VolSurge,Entry,SL,Target1,Target2,RR,Sector
M&MFIN.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),408.45,60,74.0,0.69,408.45,384.78,438.03,477.48,2.9,Nifty Auto
NAM-INDIA.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),1176.0,60,48.7,0.68,1176.0,1135.84,1226.2,1293.13,2.9,Nifty Auto
RECLTD.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),367.0,60,59.4,0.91,367.0,358.38,377.77,392.14,2.9,Nifty Auto
MANAPPURAM.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),366.75,60,78.9,0.48,366.75,352.73,384.28,407.65,2.9,Nifty Auto
CANBK.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),131.95,60,59.1,0.99,131.95,128.8,135.89,141.14,2.9,Nifty Auto
FEDERALBNK.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),356.25,60,54.8,0.67,356.25,348.12,366.41,379.95,2.9,Nifty Auto
APOLLOHOSP.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),8945.0,60,52.0,1.05,8945.0,8782.19,9148.52,9419.88,2.9,Nifty Auto
LTTS.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),3598.7,60,71.2,0.32,3598.7,3477.22,3750.55,3953.02,2.9,Nifty Auto
SIEMENS.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),3940.1,60,75.1,0.57,3940.1,3816.04,4095.17,4301.94,2.9,Nifty Auto
ABB.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),7600.0,60,59.0,0.36,7600.0,7347.92,7915.1,8335.23,2.9,Nifty Auto
ASHOKLEY.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),177.5,60,81.6,0.64,177.5,172.28,184.02,192.72,2.9,Nifty Auto
HAVELLS.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),1288.0,60,81.2,1.04,1288.0,1258.31,1325.11,1374.6,2.9,Nifty Auto
BOSCHLTD.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),42950.0,60,64.7,1.05,42950.0,41680.53,44536.84,46652.62,2.9,Nifty Auto
TITAN.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),4941.0,60,72.7,1.49,4941.0,4837.94,5069.83,5241.6,2.9,Nifty Auto
BAJFINANCE.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),1078.0,60,52.3,1.5,1078.0,1038.84,1126.95,1192.23,2.9,Nifty Auto
INFY.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),1175.1,60,66.0,0.52,1175.1,1133.95,1226.54,1295.12,2.9,Nifty IT
HINDALCO.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),1059.6,60,80.4,1.86,1059.6,1034.67,1090.76,1132.3,2.9,Nifty Auto
TECHM.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),1635.0,60,66.6,1.92,1635.0,1586.39,1695.76,1776.78,2.9,Nifty Auto
GRASIM.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),3323.0,60,64.5,2.03,3323.0,3236.47,3431.17,3575.39,2.9,Nifty Auto
NESTLEIND.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),1540.0,60,69.8,0.59,1540.0,1492.32,1599.6,1679.07,2.9,Nifty Auto
HCLTECH.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),1356.6,60,78.8,0.42,1356.6,1316.17,1407.14,1474.52,2.9,Nifty Auto
SHRIRAMFIN.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),1115.0,60,64.0,0.54,1115.0,1075.23,1164.71,1231.0,2.9,Nifty Auto
BPCL.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),321.0,60,53.2,0.81,321.0,312.35,331.82,346.24,2.9,Nifty Auto
CHOLAFIN.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),1866.2,60,58.2,1.0,1866.2,1788.84,1962.9,2091.82,2.9,Nifty Auto
BRITANNIA.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),5510.0,60,60.3,4.25,5510.0,5368.99,5686.27,5921.29,2.9,Nifty Auto
DIVISLAB.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),8275.0,60,76.8,0.43,8275.0,8025.53,8586.84,9002.62,2.9,Nifty Auto
HEROMOTOCO.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),5725.0,60,79.8,2.46,5725.0,5551.21,5942.24,6231.89,2.9,Nifty Auto
BAJAJFINSV.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),2008.9,60,66.4,1.53,2008.9,1948.3,2084.65,2185.65,2.9,Nifty Auto
M&M.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),3502.0,60,73.3,1.29,3502.0,3395.32,3635.35,3813.15,2.9,Nifty Auto
MARUTI.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),14037.0,60,73.1,0.75,14037.0,13713.91,14440.87,14979.36,2.9,Nifty Auto
SBIN.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),1097.2,60,62.3,2.66,1097.2,1072.61,1127.94,1168.92,2.9,Nifty Auto
BHARTIARTL.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),1959.9,60,63.1,0.5,1959.9,1921.17,2008.31,2072.86,2.9,Nifty Auto
CHALET.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),859.7,60,51.0,0.47,859.7,828.89,898.21,949.56,2.9,Nifty Auto
BRIGADE.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),581.95,60,57.9,1.25,581.95,562.83,605.85,637.72,2.9,Nifty Auto
INDIGO.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),5333.0,60,54.3,0.44,5333.0,5165.64,5542.2,5821.12,2.9,Nifty Auto
BATAINDIA.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),720.5,60,63.8,0.34,720.5,698.91,747.48,783.46,2.9,Nifty Auto
DEVYANI.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),134.73,60,78.5,4.56,134.73,127.95,143.2,154.5,2.9,Nifty Auto
INDIGOPNTS.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),1120.5,60,59.4,0.59,1120.5,1080.59,1170.39,1236.9,2.9,Nifty Auto
DEEPAKNTR.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),1796.5,60,66.5,3.7,1796.5,1732.32,1876.73,1983.7,2.9,Nifty Auto
HINDZINC.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),603.0,60,85.1,1.6,603.0,585.9,624.38,652.88,2.9,Nifty Auto
COROMANDEL.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),2069.3,60,58.5,0.88,2069.3,2008.31,2145.54,2247.2,2.9,Nifty Auto
AARTIIND.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),502.1,60,53.6,0.99,502.1,484.12,524.57,554.54,2.9,Nifty Auto
GODREJPROP.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),2070.0,60,46.4,0.62,2070.0,1985.24,2175.95,2317.21,2.9,Nifty Auto
RADICO.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),4499.0,60,74.0,0.63,4499.0,4349.66,4685.68,4934.58,2.9,Nifty Auto
KANSAINER.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),212.35,60,60.4,1.38,212.35,203.83,223.0,237.2,2.9,Nifty Auto
AUROPHARMA.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),1658.0,60,64.5,1.99,1658.0,1604.69,1724.63,1813.48,2.9,Nifty Auto
LALPATHLAB.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),1931.6,60,84.8,0.31,1931.6,1851.83,2031.31,2164.26,2.9,Nifty Auto
FORTIS.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),955.15,60,51.9,3.27,955.15,929.26,987.52,1030.67,2.9,Nifty Auto
NATIONALUM.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),381.0,60,80.7,0.64,381.0,369.93,394.84,413.3,2.9,Nifty Auto
NAVINFLUOR.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),8271.0,60,57.4,1.75,8271.0,7932.04,8694.7,9259.62,2.9,Nifty Auto
SAIL.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),176.58,60,71.4,0.64,176.58,170.24,184.5,195.06,2.9,Nifty Auto
LINDEINDIA.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),7112.5,60,54.9,0.81,7112.5,6900.5,7377.5,7730.83,2.9,Nifty Auto
MEDANTA.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),1455.6,60,72.6,2.13,1455.6,1400.04,1525.05,1617.65,2.9,Nifty Auto
KEI.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),5600.0,60,81.9,0.55,5600.0,5426.98,5816.28,6104.65,2.9,Nifty Auto
KAYNES.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),3856.3,60,76.3,0.64,3856.3,3696.47,4056.09,4322.47,2.9,Nifty Auto
NYKAA.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),332.0,60,58.6,0.69,332.0,321.92,344.6,361.4,2.9,Nifty Auto
COCHINSHIP.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),1519.7,60,70.4,2.26,1519.7,1480.06,1569.25,1635.33,2.9,Nifty Auto
TVSMOTOR.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),4440.9,60,86.4,0.56,4440.9,4305.53,4610.11,4835.72,2.9,Nifty Auto
BALKRISIND.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),2466.3,60,84.7,0.21,2466.3,2349.57,2612.21,2806.76,2.9,Nifty Auto
BHARATFORG.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),2265.2,60,61.1,1.44,2265.2,2212.25,2331.39,2419.65,2.9,Nifty Auto
PAYTM.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),1441.6,60,65.9,0.79,1441.6,1384.27,1513.26,1608.8,2.9,Nifty Auto
SONACOMS.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),818.05,60,76.7,1.14,818.05,787.25,856.55,907.88,2.9,Nifty Auto
PERSISTENT.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),5475.0,60,65.1,0.77,5475.0,5259.58,5744.27,6103.3,2.9,Nifty Auto
ABCAPITAL.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),408.05,60,53.2,1.2,408.05,393.95,425.68,449.19,2.9,Nifty Auto
IEX.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),127.1,60,52.5,0.34,127.1,122.71,132.59,139.91,2.9,Nifty Auto
MGL.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),1139.6,60,65.9,1.65,1139.6,1100.56,1188.4,1253.47,2.9,Nifty Auto
TITAGARH.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),847.45,60,44.1,0.68,847.45,820.59,881.03,925.8,2.9,Nifty Auto
CONCOR.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),505.2,60,59.6,0.3,505.2,488.79,525.71,553.06,2.9,Nifty Auto
LAURUSLABS.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),1844.3,60,87.1,0.71,1844.3,1791.28,1910.58,1998.95,2.9,Nifty Auto
GLENMARK.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),2279.1,60,55.9,0.78,2279.1,2209.79,2365.74,2481.25,2.9,Nifty Auto
JUBLFOOD.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),486.5,60,74.5,1.57,486.5,470.46,506.55,533.27,2.9,Nifty Auto
MARICO.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),862.0,60,54.1,0.61,862.0,839.07,890.66,928.87,2.9,Nifty Auto
RELAXO.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),423.45,60,43.8,0.13,423.45,405.17,446.3,476.78,2.9,Nifty Auto
KALYANKJIL.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),606.3,60,57.9,0.83,606.3,573.61,647.16,701.65,2.9,Nifty Auto
AETHER.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),1591.6,60,72.4,0.43,1591.6,1520.8,1680.1,1798.1,2.9,Nifty Auto
MTARTECH.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),7085.5,60,72.0,1.41,7085.5,6703.43,7563.09,8199.88,2.9,Nifty Auto
HAL.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),4910.0,60,81.0,1.28,4910.0,4790.51,5059.37,5258.53,2.9,Nifty Auto
OFSS.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),11805.0,60,53.3,0.41,11805.0,11249.14,12499.82,13426.25,2.9,Nifty Auto
MPHASIS.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),2475.0,60,54.2,0.93,2475.0,2357.92,2621.35,2816.47,2.9,Nifty Auto
COFORGE.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),1776.0,60,77.7,0.76,1776.0,1705.44,1864.2,1981.81,2.9,Nifty Auto
MAZDOCK.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),2514.9,60,70.7,1.32,2514.9,2445.24,2601.97,2718.07,2.9,Nifty Auto
CUMMINSIND.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),5426.0,50,44.4,0.56,5426.0,5260.27,5633.16,5909.38,2.9,Nifty Auto
ADANIGREEN.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),1372.4,50,23.3,0.47,1372.4,1320.45,1437.34,1523.93,2.9,Nifty Auto
ADANIPOWER.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),209.0,50,31.0,0.59,209.0,203.25,216.19,225.78,2.9,Nifty Auto
DATAPATTNS.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),4380.7,50,60.5,0.3,4380.7,4093.48,4739.73,5218.43,2.9,Nifty Auto
GAIL.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),173.63,50,51.0,0.6,173.63,168.29,180.31,189.21,2.9,Nifty Auto
DLF.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),642.0,50,43.4,0.6,642.0,621.99,667.01,700.36,2.9,Nifty Auto
CAMS.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),787.5,50,56.6,0.83,787.5,762.09,819.26,861.61,2.9,Nifty Auto
SUNPHARMA.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),1945.0,50,47.0,0.96,1945.0,1901.6,1999.25,2071.58,2.9,Nifty Auto
CGPOWER.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),879.0,50,43.5,0.36,879.0,842.85,924.19,984.45,2.9,Nifty Auto
ALKEM.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),5620.0,50,48.6,0.6,5620.0,5482.52,5791.84,6020.97,2.9,Nifty Auto
TRENT.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),2997.0,50,64.1,2.15,2997.0,2902.52,3115.1,3272.58,2.9,Nifty Auto
METROPOLIS.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),563.2,50,44.1,0.49,563.2,540.68,591.35,628.88,2.9,Nifty Auto
