Stock,Signal,Setup,WeeklyTrend,MTF,Price,Score,RSI,VolSurge,Entry,SL,Target1,Target2,RR,Sector
CYIENT.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),857.5,49,52.9,0.68,857.5,828.26,894.05,942.79,2.9,Nifty Auto
KPITTECH.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),629.9,49,67.3,0.46,629.9,600.12,667.12,716.75,2.9,Nifty Auto
TATAELXSI.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),3781.0,49,67.6,0.83,3781.0,3670.14,3919.58,4104.35,2.9,Nifty Auto
BEL.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),401.0,49,43.1,0.88,401.0,392.74,411.33,425.1,2.9,Nifty Auto
NHPC.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),76.92,49,29.5,0.48,76.92,74.71,79.68,83.37,2.9,Nifty Auto
TATAPOWER.NS,AVOID,Tight Flag 🗜️,DOWN,✅ MTF Eligible (Dhan),380.55,49,45.7,0.81,380.55,373.15,389.8,402.12,2.9,Nifty Auto
ICICIGI.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),1639.0,49,52.4,0.22,1639.0,1580.44,1712.2,1809.8,2.9,Nifty Auto
GODREJCP.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),1050.0,49,45.4,4.22,1050.0,1018.8,1089.0,1141.0,2.9,Nifty Auto
DABUR.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),410.0,49,33.9,0.82,410.0,399.57,423.04,440.43,2.9,Nifty Auto
SYNGENE.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),403.7,49,43.2,1.27,403.7,387.11,424.44,452.09,2.9,Nifty Auto
IRCTC.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),519.95,49,60.2,1.02,519.95,508.76,533.94,552.6,2.9,Nifty Auto
IOC.NS,AVOID,Tight Flag 🗜️,DOWN,✅ MTF Eligible (Dhan),143.38,49,52.3,0.46,143.38,140.3,147.23,152.36,2.9,Nifty Auto
TORNTPOWER.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),1350.8,49,24.6,1.03,1350.8,1317.42,1392.52,1448.15,2.9,Nifty Auto
IGL.NS,AVOID,Tight Flag 🗜️,DOWN,✅ MTF Eligible (Dhan),151.94,49,43.0,0.53,151.94,148.58,156.15,161.75,2.9,Nifty Auto
OIL.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),442.8,49,42.5,1.3,442.8,429.15,459.87,482.62,2.9,Nifty Auto
SJVN.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),67.96,49,41.8,0.93,67.96,66.49,69.8,72.25,2.9,Nifty Auto
GRSE.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),2599.0,49,53.8,0.86,2599.0,2516.31,2702.36,2840.18,2.9,Nifty Auto
SUZLON.NS,AVOID,Tight Flag 🗜️,DOWN,✅ MTF Eligible (Dhan),48.15,49,21.3,0.74,48.15,46.36,50.39,53.37,2.9,Nifty Auto
BDL.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),1294.0,49,58.5,1.04,1294.0,1257.35,1339.81,1400.9,2.9,Nifty Auto
JINDALSTEL.NS,AVOID,Tight Flag 🗜️,DOWN,✅ MTF Eligible (Dhan),1103.0,49,72.2,0.33,1103.0,1074.54,1138.57,1186.0,2.9,Nifty Auto
PIIND.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),2774.6,49,68.7,0.46,2774.6,2704.24,2862.54,2979.8,2.9,Nifty Auto
UPL.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),573.0,49,36.6,0.42,573.0,556.46,593.68,621.25,2.9,Nifty Auto
TATACHEM.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),673.55,49,39.9,6.93,673.55,654.57,697.28,728.91,2.9,Nifty Auto
BLUESTARCO.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),1514.0,49,25.7,4.51,1514.0,1444.32,1601.1,1717.22,2.9,Nifty Auto
VOLTAS.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),1285.0,49,30.4,1.37,1285.0,1243.8,1336.5,1405.17,2.9,Nifty Auto
VBL.NS,AVOID,Tight Flag 🗜️,DOWN,✅ MTF Eligible (Dhan),442.0,49,37.7,0.32,442.0,426.83,460.96,486.24,2.9,Nifty Auto
NMDC.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),84.92,49,55.1,0.54,84.92,82.98,87.35,90.58,2.9,Nifty Auto
SRF.NS,AVOID,Tight Flag 🗜️,DOWN,✅ MTF Eligible (Dhan),2615.0,49,28.0,0.43,2615.0,2526.86,2725.17,2872.07,2.9,Nifty Auto
UBL.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),1400.3,49,67.0,0.63,1400.3,1354.91,1457.04,1532.69,2.9,Nifty Auto
DMART.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),3900.0,49,45.6,0.57,3900.0,3781.23,4048.46,4246.4,2.9,Nifty Auto
PGHH.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),8497.0,49,40.6,0.4,8497.0,8278.17,8770.54,9135.25,2.9,Nifty Auto
ACC.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),1362.8,49,46.1,0.78,1362.8,1324.7,1410.43,1473.93,2.9,Nifty Auto
AMBUJACEM.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),434.0,49,47.8,0.8,434.0,420.41,450.98,473.62,2.9,Nifty Auto
RAMCOCEM.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),933.8,49,52.9,1.88,933.8,907.22,967.02,1011.32,2.9,Nifty Auto
COLPAL.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),2030.0,49,48.5,0.57,2030.0,1959.78,2117.77,2234.8,2.9,Nifty Auto
JKCEMENT.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),5379.5,49,46.6,0.31,5379.5,5202.71,5600.48,5895.12,2.9,Nifty Auto
AUBANK.NS,AVOID,Consolidating,UP,✅ MTF Eligible (Dhan),1067.0,40,66.6,0.44,1067.0,1031.54,1111.32,1170.42,2.9,Nifty Bank
UNIONBANK.NS,AVOID,Consolidating,UP,✅ MTF Eligible (Dhan),183.6,40,63.2,1.25,183.6,178.22,190.33,199.31,2.9,Nifty Bank
HDFCBANK.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),731.0,30,25.1,0.65,731.0,717.78,747.53,769.56,2.9,Nifty Bank
